,DO_CONC_in,Hour,Date,DateTime,DO_SAT_in,DO_MAX_CONC_in,PPFD_hourly_sum_SIM,PPFD_hourly_sum_solarPy,Q_CMS,travel_time_HRS,area_M2,depth_M,T_air,t_water_daily,v_f,k600
90,5.89313665044864,17.0,1978-07-16,1978-07-16 18:00:00,64.67512077357759,9.111906680592122,0.0,1035.1415963355844,514.0,36.41231371891115,36009363.1713354,2.4721904344377554,,19.9,0.8391544627301775,1.8710835167716608
91,5.900259289697518,18.0,1978-07-16,1978-07-16 19:00:00,64.72719413193266,9.115580195970011,0.0,384.9340741727773,514.0,36.41231371891115,36009363.1713354,2.4721904344377554,,19.9,0.8391544627301775,1.8710835167716608
92,5.866315270498808,19.0,1978-07-16,1978-07-16 20:00:00,64.32889637886518,9.119253711347902,0.0,0.3211668090108211,514.0,36.41231371891115,36009363.1713354,2.4721904344377554,,19.9,0.8391544627301775,1.8710835167716608
93,5.7940848274420045,20.0,1978-07-16,1978-07-16 21:00:00,63.52403637603474,9.121090469036847,0.0,0.0,514.0,36.41231371891115,36009363.1713354,2.4721904344377554,,19.9,0.8391544627301775,1.8710835167716608
94,5.689126081889857,21.0,1978-07-16,1978-07-16 22:00:00,62.34819981762803,9.124763984414736,0.0,0.0,514.0,36.41231371891115,36009363.1713354,2.4721904344377554,,19.9,0.8391544627301775,1.8710835167716608
95,5.559187873824236,22.0,1978-07-16,1978-07-16 23:00:00,60.89966518312171,9.128437499792629,0.0,0.0,514.0,36.41231371891115,36009363.1713354,2.4721904344377554,,19.9,0.8391544627301775,1.8710835167716608
96,5.413539493914374,23.0,1978-07-17,1978-07-17 00:00:00,59.298153844371214,9.1293558786371,0.0,0.0,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
97,5.262250732887045,0.0,1978-07-17,1978-07-17 01:00:00,56.610598843390825,9.295522111406534,0.0,0.0,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
98,5.115459051072138,1.0,1978-07-17,1978-07-17 02:00:00,55.02590438806495,9.29645611091796,0.0,0.0,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
99,4.982661548735735,2.0,1978-07-17,1978-07-17 03:00:00,53.597429916159015,9.29645611091796,0.0,0.0,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
100,4.872067727680179,3.0,1978-07-17,1978-07-17 04:00:00,52.39726718572285,9.298324109940822,0.0,0.2027159997618923,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
101,4.790044891766274,4.0,1978-07-17,1978-07-17 05:00:00,51.50479512299051,9.30019210896368,0.0,373.7811478217593,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
102,4.740681720823197,5.0,1978-07-17,1978-07-17 06:00:00,50.953550654069005,9.303928107009398,0.0,1027.397320952498,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
103,4.725487499090708,6.0,1978-07-17,1978-07-17 07:00:00,50.79534012906759,9.302994107497966,0.0,1467.8128952820389,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
104,4.743235234706035,7.0,1978-07-17,1978-07-17 08:00:00,50.98611457662984,9.302994107497966,499.7141835022746,1742.2312095433012,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
105,4.789947100810879,8.0,1978-07-17,1978-07-17 09:00:00,51.48823105187511,9.302994107497966,0.0,1913.49286202526,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
106,4.859010929870803,9.0,1978-07-17,1978-07-17 10:00:00,52.23061386177349,9.302994107497966,0.0,2017.7006945244343,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
107,4.941407561739371,10.0,1978-07-17,1978-07-17 11:00:00,53.10032054684955,9.305796106032256,2334.023500265407,2074.0544592786405,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
108,5.026021291499989,11.0,1978-07-17,1978-07-17 12:00:00,54.02042270418536,9.303928107009398,2334.023500265407,2091.904731790911,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
109,5.1379310344885365,12.0,1978-07-17,1978-07-17 13:00:00,55.223245229267405,9.303928107009398,1451.8436234544506,2074.0544592786405,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
110,5.2131177853329325,13.0,1978-07-17,1978-07-17 14:00:00,56.02011612906128,9.305796106032256,0.0,2017.7006945244343,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
111,5.259921082518511,14.0,1978-07-17,1978-07-17 15:00:00,56.54008829565048,9.302994107497966,999.4283670045492,1913.49286202526,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
112,5.293843992314208,15.0,1978-07-17,1978-07-17 16:00:00,56.89902083750981,9.303928107009398,0.0,1742.2312095433012,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
113,5.324479844412306,16.0,1978-07-17,1978-07-17 17:00:00,57.23979185901871,9.302060107986538,434.9225927874064,1467.8128952820389,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
114,5.35673336710046,17.0,1978-07-17,1978-07-17 18:00:00,57.59809372042489,9.30019210896368,0.0,1027.397320952498,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
115,5.392009894823737,18.0,1978-07-17,1978-07-17 19:00:00,57.97740338747226,9.30019210896368,211.9529891970652,373.7811478217593,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
116,5.429328387323389,19.0,1978-07-17,1978-07-17 20:00:00,58.378669211472655,9.30019210896368,0.0,0.2027159997618923,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
117,5.46631919165406,20.0,1978-07-17,1978-07-17 21:00:00,58.77641157955792,9.30019210896368,0.0,0.0,537.0,35.8848570290747,36390529.23237605,2.5360502847158144,,19.0,0.8514888475325058,1.9151006202565521
